time,value
0.000000000,-329336
0.000031250,177121
0.000062500,283272
0.000093750,614987
0.000125000,341887
0.000156250,295410
0.000187500,-167799
0.000218750,63694
0.000250000,-181911
0.000281250,51574
0.000312500,299958
0.000343750,-1825
0.000375000,137703
0.000406250,105353
0.000437500,299639
0.000468750,58257
0.000500000,111684
0.000531250,265411
0.000562500,431760
0.000593750,528477
0.000625000,226819
0.000656250,-178319
0.000687500,-33177
0.000718750,-192876
0.000750000,-53727
0.000781250,-50894
0.000812500,362589
0.000843750,288517
0.000875000,368906
0.000906250,-51040
0.000937500,767
0.000968750,-173249
0.001000000,-184639
0.001031250,-42791
0.001062500,398282
0.001093750,670866
0.001125000,157640
0.001156250,-12894
0.001187500,-186457
0.001218750,48210
0.001250000,9234
0.001281250,162358
0.001312500,276921
0.001343750,31887
0.001375000,-171711
0.001406250,-144304
0.001437500,155966
0.001468750,167970
0.001500000,201116
0.001531250,382369
0.001562500,132889
0.001593750,-24804
0.001625000,-181127
0.001656250,-190918
0.001687500,-92671
0.001718750,-397368
0.001750000,-478615
0.001781250,-158514
0.001812500,-228900
0.001843750,-217711
0.001875000,11134
0.001906250,57209
0.001937500,172122
0.001968750,45994
0.002000000,-54719
0.002031250,-106346
0.002062500,-9083
0.002093750,-53201
0.002125000,-114594
0.002156250,-276450
0.002187500,-573628
0.002218750,-398266
0.002250000,-80789
0.002281250,148708
0.002312500,370938
0.002343750,274796
0.002375000,140
0.002406250,-89376
0.002437500,98904
0.002468750,269208
0.002500000,370917
0.002531250,284899
0.002562500,103736
0.002593750,-131349
0.002625000,-251475
0.002656250,-299340
0.002687500,-118917
0.002718750,46594
0.002750000,-24038
0.002781250,143612
0.002812500,-262714
0.002843750,-250496
0.002875000,-236113
0.002906250,-185070
0.002937500,-37148
0.002968750,294710
0.003000000,479344
0.003031250,459770
0.003062500,120440
0.003093750,-167666
0.003125000,156622
0.003156250,105175
0.003187500,90664
0.003218750,108089
0.003250000,-162879
0.003281250,-433247
0.003312500,-332673
0.003343750,-126206
0.003375000,-205399
0.003406250,78555
0.003437500,214776
0.003468750,138230
0.003500000,293962
0.003531250,155641
0.003562500,32439
0.003593750,93563
0.003625000,102205
0.003656250,276469
0.003687500,266589
0.003718750,91329
0.003750000,82440
0.003781250,27811
0.003812500,-65321
0.003843750,-156280
0.003875000,156244
0.003906250,195803
0.003937500,45769
0.003968750,84570
0.004000000,48844
0.004031250,-158447
0.004062500,-306097
0.004093750,-57137
0.004125000,-53420
0.004156250,-59838
0.004187500,69593
0.004218750,189460
0.004250000,-70917
0.004281250,-388069
0.004312500,-408809
0.004343750,-435930
0.004375000,-198281
0.004406250,86155
0.004437500,148224
0.004468750,202011
0.004500000,28699
0.004531250,-161138
0.004562500,-194017
0.004593750,-228437
0.004625000,7740
0.004656250,63287
0.004687500,-168562
0.004718750,-156770
0.004750000,-403461
0.004781250,-68917
0.004812500,-173926
0.004843750,21846
0.004875000,206396
0.004906250,-320102
0.004937500,325766
0.004968750,90068
0.005000000,393626
0.005031250,429884
0.005062500,344032
0.005093750,318875
0.005125000,-185230
0.005156250,37979
0.005187500,202221
0.005218750,291935
0.005250000,419437
0.005281250,121154
0.005312500,267549
0.005343750,13345
0.005375000,80576
0.005406250,97965
0.005437500,258136
0.005468750,407146
0.005500000,317720
0.005531250,348781
0.005562500,137642
0.005593750,272306
0.005625000,97104
0.005656250,-50986
0.005687500,169431
0.005718750,236224
0.005750000,-30101
0.005781250,-370277
0.005812500,-515272
0.005843750,-506204
0.005875000,-297706
0.005906250,-408621
0.005937500,204953
0.005968750,124547
0.006000000,477
0.006031250,165783
0.006062500,-105875
0.006093750,-3329
0.006125000,-128985
0.006156250,12255
0.006187500,172540
0.006218750,84019
0.006250000,215431
0.006281250,-231475
0.006312500,125181
0.006343750,-55211
0.006375000,1313
0.006406250,-5500
0.006437500,-92303
0.006468750,83853
0.006500000,-159387
0.006531250,-96775
0.006562500,-105624
0.006593750,119027
0.006625000,643119
0.006656250,699946
0.006687500,468073
0.006718750,353500
0.006750000,64119
0.006781250,-69784
0.006812500,62273
0.006843750,180096
0.006875000,-63444
0.006906250,-316753
0.006937500,-323949
0.006968750,-66795
0.007000000,-393223
0.007031250,-347669
0.007062500,-404133
0.007093750,-105722
0.007125000,-378191
0.007156250,-326365
0.007187500,-190635
0.007218750,-708345
0.007250000,-499542
0.007281250,-329002
0.007312500,193788
0.007343750,414990
0.007375000,231465
0.007406250,-200225
0.007437500,-389455
0.007468750,-588936
0.007500000,-69854
0.007531250,86656
0.007562500,26331
0.007593750,-40169
0.007625000,-176761
0.007656250,-471127
0.007687500,-442641
0.007718750,-157490
0.007750000,130699
0.007781250,151423
0.007812500,264098
0.007843750,42648
0.007875000,277321
0.007906250,283972
0.007937500,405997
0.007968750,357684
0.008000000,399168
0.008031250,161317
0.008062500,-29563
0.008093750,-35994
0.008125000,-184221
0.008156250,-71743
0.008187500,9704
0.008218750,28467
0.008250000,-71180
0.008281250,-23638
0.008312500,64798
0.008343750,256146
0.008375000,88880
0.008406250,285827
0.008437500,285025
0.008468750,238480
0.008500000,306834
0.008531250,147400
0.008562500,316903
0.008593750,449252
0.008625000,408987
0.008656250,220556
0.008687500,157432
0.008718750,-278550
0.008750000,-378946
0.008781250,-154758
0.008812500,-52029
0.008843750,-75174
0.008875000,229014
0.008906250,248236
0.008937500,135449
0.008968750,43689
0.009000000,-142609
0.009031250,-46441
0.009062500,88348
0.009093750,245354
0.009125000,480124
0.009156250,330914
0.009187500,168514
0.009218750,2482
0.009250000,-41088
0.009281250,116645
0.009312500,222234
0.009343750,141190
0.009375000,4770
0.009406250,-116138
0.009437500,-228758
0.009468750,-231232
0.009500000,-306348
0.009531250,-223200
