time,value
0.000000000,-12014
0.000031250,-42530
0.000062500,-49846
0.000093750,-71725
0.000125000,-82390
0.000156250,-92144
0.000187500,-130611
0.000218750,-142271
0.000250000,-132154
0.000281250,-147262
0.000312500,-175653
0.000343750,-141119
0.000375000,-111446
0.000406250,-103715
0.000437500,-102175
0.000468750,-88804
0.000500000,-96797
0.000531250,-117844
0.000562500,-111367
0.000593750,-84347
0.000625000,-71376
0.000656250,-54725
0.000687500,-31783
0.000718750,-8660
0.000750000,8717
0.000781250,6911
0.000812500,13096
0.000843750,7146
0.000875000,20711
0.000906250,30459
0.000937500,21469
0.000968750,3032
0.001000000,-13162
0.001031250,-20659
0.001062500,-53339
0.001093750,-77664
0.001125000,-105575
0.001156250,-154316
0.001187500,-181156
0.001218750,-202383
0.001250000,-210265
0.001281250,-215210
0.001312500,-229519
0.001343750,-246518
0.001375000,-262598
0.001406250,-281509
0.001437500,-304945
0.001468750,-316971
0.001500000,-307601
0.001531250,-310087
0.001562500,-319720
0.001593750,-283278
0.001625000,-247316
0.001656250,-221466
0.001687500,-200945
0.001718750,-177503
0.001750000,-172857
0.001781250,-147545
0.001812500,-112540
0.001843750,-103198
0.001875000,-85088
0.001906250,-84017
0.001937500,-98644
0.001968750,-78924
0.002000000,-66482
0.002031250,-73601
0.002062500,-75833
0.002093750,-76188
0.002125000,-105828
0.002156250,-124703
0.002187500,-123270
0.002218750,-160196
0.002250000,-181171
0.002281250,-194674
0.002312500,-210391
0.002343750,-193737
0.002375000,-190981
0.002406250,-192082
0.002437500,-189318
0.002468750,-189367
0.002500000,-187372
0.002531250,-191675
0.002562500,-189237
0.002593750,-178867
0.002625000,-171068
0.002656250,-155675
0.002687500,-123031
0.002718750,-105822
0.002750000,-83290
0.002781250,-59242
0.002812500,-25711
0.002843750,8422
0.002875000,33379
0.002906250,77192
0.002937500,99206
0.002968750,124617
0.003000000,171373
0.003031250,219786
0.003062500,254842
0.003093750,305876
0.003125000,363901
0.003156250,383241
0.003187500,387456
0.003218750,407754
0.003250000,426576
0.003281250,438308
