time,value
0.000000000,124726
0.000031250,121612
0.000062500,3191
0.000093750,-112232
0.000125000,-79139
0.000156250,-209920
0.000187500,39902
0.000218750,235094
0.000250000,173771
0.000281250,293577
0.000312500,296520
0.000343750,162910
0.000375000,122768
0.000406250,89090
0.000437500,163371
0.000468750,77733
0.000500000,28341
0.000531250,83733
0.000562500,-3918
0.000593750,181624
0.000625000,260391
0.000656250,382734
0.000687500,210301
0.000718750,-184869
0.000750000,-114596
0.000781250,197546
0.000812500,350148
0.000843750,363030
0.000875000,219020
0.000906250,-23693
0.000937500,-359719
0.000968750,-615884
0.001000000,-612366
0.001031250,-271515
0.001062500,-62095
0.001093750,-47000
0.001125000,-370684
0.001156250,-676634
0.001187500,-459653
0.001218750,-308361
0.001250000,-281966
0.001281250,-43225
0.001312500,146526
0.001343750,-114107
0.001375000,-136215
0.001406250,-265511
0.001437500,-301015
0.001468750,-510937
0.001500000,-459200
0.001531250,-370864
0.001562500,-115148
0.001593750,-167449
0.001625000,-409787
0.001656250,-659882
0.001687500,-744243
0.001718750,-502892
0.001750000,-308677
0.001781250,-427589
0.001812500,-321977
0.001843750,-286990
0.001875000,-149042
0.001906250,3785
0.001937500,-88381
0.001968750,-208038
0.002000000,47124
0.002031250,-26213
0.002062500,79041
0.002093750,5522
0.002125000,-321132
0.002156250,-458297
0.002187500,-475817
0.002218750,-191646
0.002250000,183420
0.002281250,485669
0.002312500,168566
0.002343750,168435
0.002375000,-93732
0.002406250,115978
0.002437500,466535
0.002468750,-22969
0.002500000,-279903
0.002531250,-541171
0.002562500,-303886
0.002593750,-26476
0.002625000,-432891
0.002656250,331332
0.002687500,54291
0.002718750,-85289
0.002750000,-96870
0.002781250,-636132
0.002812500,28825
0.002843750,-208870
0.002875000,122884
0.002906250,231626
0.002937500,183378
0.002968750,182141
0.003000000,-73470
0.003031250,-288416
0.003062500,-345278
0.003093750,-44956
0.003125000,31795
0.003156250,-85800
0.003187500,-277218
0.003218750,-978599
0.003250000,-474072
0.003281250,-604224
0.003312500,84724
0.003343750,722197
0.003375000,594025
0.003406250,663774
0.003437500,-66916
0.003468750,-240003
0.003500000,-153183
0.003531250,208038
0.003562500,-17002
0.003593750,320836
0.003625000,111520
0.003656250,-204240
0.003687500,-423827
0.003718750,13280
0.003750000,39673
0.003781250,-189457
0.003812500,135720
0.003843750,83692
0.003875000,-43531
0.003906250,-501925
0.003937500,-354729
0.003968750,70459
0.004000000,-183114
0.004031250,114714
0.004062500,326298
0.004093750,46449
0.004125000,10400
0.004156250,-156903
0.004187500,-290046
0.004218750,-641592
0.004250000,-254055
0.004281250,15738
0.004312500,-331882
0.004343750,-190784
0.004375000,242674
0.004406250,-9588
0.004437500,94606
0.004468750,-20932
0.004500000,357294
0.004531250,411176
0.004562500,233613
0.004593750,543435
0.004625000,278846
0.004656250,-73555
0.004687500,-98585
0.004718750,-70828
0.004750000,-69665
0.004781250,-51258
0.004812500,-115043
0.004843750,-66177
0.004875000,3388
0.004906250,-18829
0.004937500,39256
0.004968750,136632
0.005000000,447453
0.005031250,607886
0.005062500,857143
0.005093750,724245
0.005125000,500035
0.005156250,486402
0.005187500,164421
0.005218750,593377
0.005250000,289450
0.005281250,403949
0.005312500,293511
0.005343750,164652
0.005375000,342367
0.005406250,286740
0.005437500,262379
0.005468750,364319
0.005500000,367294
0.005531250,357649
0.005562500,163010
0.005593750,224163
0.005625000,206838
0.005656250,339050
0.005687500,358441
0.005718750,334829
0.005750000,478780
0.005781250,303325
0.005812500,271130
0.005843750,262767
0.005875000,245888
0.005906250,-311935
0.005937500,-372452
0.005968750,-237920
0.006000000,-80183
0.006031250,177091
0.006062500,-76085
0.006093750,-396033
0.006125000,-283403
0.006156250,43812
0.006187500,410182
0.006218750,352929
0.006250000,481511
0.006281250,48578
0.006312500,-116328
0.006343750,6479
0.006375000,115874
