time,value
0.000000000,-68478
0.000031250,-384651
0.000062500,-441817
0.000093750,-484280
0.000125000,-578907
0.000156250,-430471
0.000187500,-270831
0.000218750,-240115
0.000250000,-309723
0.000281250,-286837
0.000312500,-292956
0.000343750,-18297
0.000375000,22496
0.000406250,220477
0.000437500,123012
0.000468750,79552
0.000500000,520002
0.000531250,769243
0.000562500,611120
0.000593750,315434
0.000625000,170666
0.000656250,-91027
0.000687500,-341724
0.000718750,-152965
0.000750000,118496
0.000781250,237870
0.000812500,308578
0.000843750,151126
0.000875000,-102527
0.000906250,57912
0.000937500,165842
0.000968750,227367
0.001000000,477839
0.001031250,417742
0.001062500,393986
0.001093750,237211
0.001125000,128088
0.001156250,81629
0.001187500,158742
0.001218750,163877
0.001250000,405659
0.001281250,387244
0.001312500,168183
0.001343750,47277
0.001375000,-131634
0.001406250,390244
0.001437500,460552
0.001468750,298376
0.001500000,337034
0.001531250,604134
0.001562500,291623
0.001593750,353606
0.001625000,558138
0.001656250,141854
0.001687500,-97901
0.001718750,-477402
0.001750000,-162489
0.001781250,-20798
0.001812500,-335339
0.001843750,-365143
0.001875000,-356650
0.001906250,-289627
0.001937500,-437112
0.001968750,-45582
0.002000000,30696
0.002031250,-41111
0.002062500,23980
0.002093750,65745
0.002125000,71772
0.002156250,-115343
0.002187500,-62025
0.002218750,263244
0.002250000,430698
0.002281250,242424
0.002312500,107843
0.002343750,158824
0.002375000,95507
0.002406250,-282844
0.002437500,-670654
0.002468750,-181458
0.002500000,-350176
0.002531250,-527605
0.002562500,-116780
0.002593750,21192
0.002625000,-148483
0.002656250,-472285
0.002687500,-116749
0.002718750,-158319
0.002750000,-318831
0.002781250,-146784
0.002812500,251580
0.002843750,264121
0.002875000,-280846
0.002906250,-420141
0.002937500,-297581
0.002968750,-271245
0.003000000,-321140
0.003031250,90720
0.003062500,298418
0.003093750,307403
0.003125000,499730
0.003156250,235319
0.003187500,-291760
0.003218750,-476360
0.003250000,293975
0.003281250,150051
0.003312500,443779
0.003343750,86039
0.003375000,-181131
0.003406250,-248518
0.003437500,-452582
0.003468750,160148
0.003500000,-312619
0.003531250,267631
0.003562500,253838
0.003593750,-80135
0.003625000,-103106
0.003656250,-159024
0.003687500,61899
0.003718750,-45229
0.003750000,349817
0.003781250,291533
0.003812500,489977
0.003843750,156125
0.003875000,54788
0.003906250,-79804
0.003937500,-419444
0.003968750,-78386
0.004000000,162292
0.004031250,608358
0.004062500,661817
0.004093750,323603
0.004125000,136626
0.004156250,201736
0.004187500,377474
0.004218750,487445
0.004250000,808615
0.004281250,824677
0.004312500,601724
0.004343750,296056
0.004375000,-372059
0.004406250,-299939
0.004437500,-611484
0.004468750,192941
0.004500000,106762
0.004531250,-59471
0.004562500,144565
0.004593750,-344880
0.004625000,-61394
0.004656250,-171366
0.004687500,-132284
0.004718750,-105397
0.004750000,-174244
0.004781250,259184
0.004812500,75671
0.004843750,302567
0.004875000,9153
0.004906250,-271182
0.004937500,39991
0.004968750,58129
0.005000000,35392
0.005031250,26012
0.005062500,62871
0.005093750,-7244
0.005125000,37895
0.005156250,-13512
0.005187500,-101638
0.005218750,47560
0.005250000,504130
0.005281250,291890
0.005312500,384632
0.005343750,367875
0.005375000,345480
0.005406250,13355
0.005437500,-20490
0.005468750,-210771
0.005500000,-383479
0.005531250,-219980
0.005562500,-141146
0.005593750,-78982
0.005625000,-107544
0.005656250,-20537
0.005687500,-124727
0.005718750,-70418
0.005750000,-201163
