time,value
0.000000000,-60442
0.000031250,-198072
0.000062500,13901
0.000093750,530026
0.000125000,641978
0.000156250,477322
0.000187500,478472
0.000218750,231852
0.000250000,-153022
0.000281250,-451268
0.000312500,-560540
0.000343750,-602104
0.000375000,-934677
0.000406250,-1009987
0.000437500,-716067
0.000468750,-519026
0.000500000,-275401
0.000531250,37637
0.000562500,66308
0.000593750,-43271
0.000625000,19995
0.000656250,71034
0.000687500,223331
0.000718750,281877
0.000750000,518818
0.000781250,646873
0.000812500,363019
0.000843750,-72064
0.000875000,-220533
0.000906250,-295289
0.000937500,-289726
0.000968750,101225
0.001000000,-12374
0.001031250,-257868
0.001062500,-363100
0.001093750,-151366
0.001125000,110942
0.001156250,314353
0.001187500,458532
0.001218750,486475
0.001250000,475917
0.001281250,208211
0.001312500,29305
0.001343750,12669
0.001375000,55528
0.001406250,77268
0.001437500,324524
0.001468750,425198
0.001500000,274691
0.001531250,162825
0.001562500,191615
0.001593750,139196
0.001625000,144109
0.001656250,336883
0.001687500,371223
0.001718750,280294
0.001750000,280499
0.001781250,284081
0.001812500,105299
0.001843750,10188
0.001875000,22904
0.001906250,80755
0.001937500,-5967
0.001968750,35853
0.002000000,61452
0.002031250,-197899
0.002062500,-261086
0.002093750,-473725
0.002125000,-230735
0.002156250,270747
0.002187500,144825
0.002218750,669709
0.002250000,387432
0.002281250,216172
0.002312500,-10175
0.002343750,-14570
0.002375000,-1204
0.002406250,42964
0.002437500,239531
0.002468750,266469
0.002500000,245448
0.002531250,-245228
0.002562500,-212626
0.002593750,-271425
0.002625000,8160
0.002656250,322931
0.002687500,609120
0.002718750,208716
0.002750000,-107058
0.002781250,-261888
0.002812500,-183953
0.002843750,-117147
0.002875000,241410
0.002906250,355260
0.002937500,152542
0.002968750,92743
0.003000000,-14563
0.003031250,-249030
0.003062500,-146305
0.003093750,-150034
0.003125000,47992
0.003156250,311690
0.003187500,237584
0.003218750,82289
0.003250000,37591
0.003281250,26875
0.003312500,-2352
0.003343750,21748
0.003375000,53057
0.003406250,88356
0.003437500,-42321
0.003468750,-118387
0.003500000,-410387
0.003531250,-439020
0.003562500,-651335
0.003593750,-603035
0.003625000,-517059
0.003656250,-169920
0.003687500,-407025
0.003718750,-244952
0.003750000,-44651
0.003781250,62950
0.003812500,87348
0.003843750,205144
0.003875000,294142
0.003906250,458659
0.003937500,505683
0.003968750,301115
0.004000000,117518
0.004031250,303437
0.004062500,260782
0.004093750,-8692
0.004125000,-260386
0.004156250,-222460
0.004187500,-379315
0.004218750,-438778
0.004250000,-210874
0.004281250,127349
0.004312500,101032
0.004343750,-104725
0.004375000,79367
0.004406250,236326
0.004437500,313580
0.004468750,306233
0.004500000,368498
0.004531250,166212
0.004562500,271925
0.004593750,231015
0.004625000,29278
0.004656250,-78550
0.004687500,144139
0.004718750,-244991
0.004750000,-173265
0.004781250,229044
0.004812500,57227
0.004843750,-240285
0.004875000,-302101
0.004906250,-146757
0.004937500,-117424
0.004968750,86822
0.005000000,142201
0.005031250,199567
0.005062500,401156
0.005093750,438360
0.005125000,419395
0.005156250,327144
0.005187500,274380
0.005218750,137392
0.005250000,-198317
0.005281250,-88559
0.005312500,-1703
0.005343750,33785
0.005375000,-65183
0.005406250,-139741
0.005437500,-160985
0.005468750,-56974
0.005500000,-5990
0.005531250,100166
0.005562500,202448
0.005593750,154219
0.005625000,173417
0.005656250,129460
0.005687500,168442
0.005718750,304932
0.005750000,530078
0.005781250,524329
0.005812500,273571
0.005843750,-83935
0.005875000,-301098
0.005906250,-829113
0.005937500,-796674
0.005968750,-390454
0.006000000,-368778
0.006031250,-539888
0.006062500,-334918
0.006093750,-123339
0.006125000,-209091
0.006156250,9601
0.006187500,358469
0.006218750,402884
0.006250000,351840
0.006281250,143295
0.006312500,-70286
0.006343750,-142637
0.006375000,-149703
0.006406250,-180809
0.006437500,-221085
0.006468750,-235366
0.006500000,-345516
0.006531250,-426594
0.006562500,-504526
0.006593750,-224699
0.006625000,-63546
0.006656250,-214241
0.006687500,-75070
0.006718750,63948
0.006750000,135291
0.006781250,289052
0.006812500,268638
0.006843750,110096
0.006875000,-88201
0.006906250,-268683
0.006937500,-395641
0.006968750,-274591
0.007000000,-280768
0.007031250,-338779
0.007062500,-459147
0.007093750,-503335
0.007125000,-214694
0.007156250,14664
0.007187500,162666
0.007218750,364006
0.007250000,420242
0.007281250,299685
0.007312500,319014
0.007343750,285357
0.007375000,57445
0.007406250,-48339
0.007437500,-297854
0.007468750,-424230
0.007500000,-600437
0.007531250,-622389
0.007562500,-543097
0.007593750,-264781
0.007625000,-210419
0.007656250,-230705
0.007687500,95980
0.007718750,-325727
0.007750000,311223
0.007781250,384731
0.007812500,413279
0.007843750,552191
0.007875000,182166
0.007906250,-208641
0.007937500,-597524
0.007968750,-607136
0.008000000,-720376
0.008031250,-484131
0.008062500,-244679
0.008093750,-219407
0.008125000,-156745
0.008156250,-291204
0.008187500,-220518
0.008218750,108215
0.008250000,282022
0.008281250,661888
0.008312500,947770
0.008343750,547744
0.008375000,102186
0.008406250,-264387
0.008437500,-360306
0.008468750,-313886
0.008500000,-243454
0.008531250,-45991
0.008562500,-211355
0.008593750,-286087
0.008625000,-226278
0.008656250,-171867
0.008687500,-83166
0.008718750,32743
0.008750000,335720
0.008781250,157139
0.008812500,265325
0.008843750,203032
0.008875000,161961
0.008906250,-28666
0.008937500,-115356
0.008968750,-194030
0.009000000,-56272
0.009031250,43783
0.009062500,-22893
0.009093750,-56640
0.009125000,-369349
0.009156250,-362657
0.009187500,-394863
0.009218750,-157840
0.009250000,10547
0.009281250,312821
0.009312500,274653
0.009343750,253300
0.009375000,57614
0.009406250,78111
0.009437500,245225
0.009468750,154228
0.009500000,283774
0.009531250,693052
0.009562500,632501
0.009593750,513523
0.009625000,654992
0.009656250,653870
0.009687500,584136
0.009718750,474641
0.009750000,362266
0.009781250,223119
0.009812500,10689
0.009843750,-129662
0.009875000,-100120
0.009906250,115234
0.009937500,93509
0.009968750,179070
0.010000000,250632
0.010031250,242659
0.010062500,381179
0.010093750,269203
0.010125000,439373
0.010156250,503444
0.010187500,488699
0.010218750,361119
0.010250000,273253
0.010281250,-17822
0.010312500,32254
0.010343750,102177
0.010375000,-120987
0.010406250,-332063
0.010437500,-391548
0.010468750,-396138
0.010500000,-411743
0.010531250,-140294
0.010562500,244730
0.010593750,228151
0.010625000,139265
0.010656250,232794
0.010687500,306742
0.010718750,77878
0.010750000,114498
0.010781250,-10926
0.010812500,-182094
0.010843750,-452233
0.010875000,-729333
0.010906250,-678246
0.010937500,-720500
0.010968750,-439352
0.011000000,-482811
0.011031250,-497444
0.011062500,-364342
0.011093750,-197751
0.011125000,-21262
