time,value
0.000000000,-206962
0.000031250,-263289
0.000062500,-298872
0.000093750,-271213
0.000125000,-268620
0.000156250,-258085
0.000187500,-219791
0.000218750,-252807
0.000250000,-256092
0.000281250,-265275
0.000312500,-304718
0.000343750,-293851
0.000375000,-252689
0.000406250,-187682
0.000437500,-124840
0.000468750,-34558
0.000500000,40375
0.000531250,122418
0.000562500,151819
0.000593750,228082
0.000625000,278778
0.000656250,340762
0.000687500,375732
0.000718750,465615
0.000750000,494885
0.000781250,482185
0.000812500,473863
0.000843750,524366
0.000875000,534138
0.000906250,518114
0.000937500,550211
0.000968750,542093
0.001000000,549087
0.001031250,521404
0.001062500,499069
0.001093750,541800
0.001125000,536373
0.001156250,520490
0.001187500,536617
0.001218750,529503
0.001250000,470908
0.001281250,428596
0.001312500,418722
0.001343750,375118
0.001375000,286541
0.001406250,265104
0.001437500,251455
0.001468750,218191
0.001500000,228858
0.001531250,228967
0.001562500,233766
0.001593750,262801
0.001625000,238218
0.001656250,195022
0.001687500,199930
0.001718750,126217
0.001750000,55435
0.001781250,36089
0.001812500,19682
0.001843750,-18629
0.001875000,-57508
0.001906250,-46153
0.001937500,-96581
0.001968750,-144341
0.002000000,-185072
0.002031250,-238344
0.002062500,-269910
0.002093750,-287571
0.002125000,-331114
0.002156250,-372696
0.002187500,-378250
0.002218750,-400631
0.002250000,-453109
0.002281250,-490553
0.002312500,-503051
0.002343750,-547194
0.002375000,-573613
0.002406250,-617104
0.002437500,-681951
0.002468750,-715347
0.002500000,-720699
0.002531250,-692128
0.002562500,-683368
0.002593750,-696089
0.002625000,-682485
0.002656250,-667793
0.002687500,-655115
0.002718750,-632760
0.002750000,-604476
0.002781250,-540643
0.002812500,-541924
0.002843750,-519121
0.002875000,-450783
0.002906250,-414398
0.002937500,-385851
0.002968750,-340112
0.003000000,-306262
0.003031250,-289220
0.003062500,-256541
0.003093750,-207010
0.003125000,-134129
0.003156250,-108324
0.003187500,-90275
0.003218750,-48545
0.003250000,-11768
0.003281250,4655
0.003312500,-1702
0.003343750,10566
0.003375000,36839
0.003406250,36595
0.003437500,23488
0.003468750,28826
0.003500000,35482
0.003531250,22240
0.003562500,22709
0.003593750,35163
0.003625000,36719
0.003656250,7578
0.003687500,41243
0.003718750,81559
0.003750000,82477
0.003781250,87690
0.003812500,122806
0.003843750,145336
0.003875000,148937
0.003906250,203548
0.003937500,240440
0.003968750,251628
0.004000000,295281
0.004031250,343438
0.004062500,364315
0.004093750,387217
0.004125000,455707
0.004156250,506137
0.004187500,544426
0.004218750,611255
0.004250000,673876
0.004281250,693254
0.004312500,729684
0.004343750,748703
0.004375000,757602
0.004406250,789190
0.004437500,794358
0.004468750,806980
0.004500000,792692
0.004531250,775981
0.004562500,767421
0.004593750,726446
0.004625000,711835
0.004656250,710013
0.004687500,702086
0.004718750,659393
0.004750000,613670
0.004781250,609826
0.004812500,600350
0.004843750,586114
0.004875000,577289
0.004906250,581510
0.004937500,530652
0.004968750,499318
0.005000000,493871
0.005031250,447794
0.005062500,392381
0.005093750,391989
0.005125000,379572
0.005156250,363924
0.005187500,379791
0.005218750,387920
0.005250000,388910
0.005281250,400909
0.005312500,410058
0.005343750,409357
0.005375000,400109
0.005406250,380858
0.005437500,367879
0.005468750,355417
0.005500000,334298
0.005531250,287064
0.005562500,212820
0.005593750,155993
0.005625000,98491
0.005656250,20851
0.005687500,-52465
0.005718750,-125733
0.005750000,-201169
0.005781250,-284568
0.005812500,-374064
0.005843750,-436817
0.005875000,-479715
0.005906250,-523381
0.005937500,-583100
0.005968750,-617473
0.006000000,-681711
0.006031250,-730029
0.006062500,-766396
0.006093750,-822845
0.006125000,-873640
0.006156250,-924202
0.006187500,-934408
0.006218750,-965200
0.006250000,-958945
0.006281250,-915732
0.006312500,-894572
0.006343750,-859516
0.006375000,-824027
0.006406250,-806045
0.006437500,-767138
0.006468750,-703406
0.006500000,-646699
0.006531250,-579224
0.006562500,-531863
0.006593750,-487912
0.006625000,-440900
0.006656250,-403453
0.006687500,-387787
0.006718750,-383723
0.006750000,-396850
0.006781250,-399541
0.006812500,-402087
0.006843750,-376561
0.006875000,-319283
0.006906250,-280380
0.006937500,-217400
0.006968750,-167012
0.007000000,-143167
0.007031250,-117540
0.007062500,-96631
0.007093750,-67000
0.007125000,-54776
0.007156250,-44030
0.007187500,-28932
0.007218750,-9518
0.007250000,17267
0.007281250,28929
0.007312500,20485
0.007343750,16072
0.007375000,-220
0.007406250,-7785
0.007437500,12265
0.007468750,55182
0.007500000,62969
0.007531250,85263
0.007562500,108520
0.007593750,160367
0.007625000,205978
0.007656250,228776
0.007687500,281152
0.007718750,317595
0.007750000,321395
0.007781250,341830
0.007812500,346159
0.007843750,345124
0.007875000,360328
0.007906250,377636
0.007937500,388486
0.007968750,405494
0.008000000,419213
0.008031250,439813
0.008062500,457704
0.008093750,455241
0.008125000,444953
0.008156250,473020
0.008187500,494454
0.008218750,476305
0.008250000,471494
0.008281250,457579
0.008312500,412395
0.008343750,348930
0.008375000,294231
0.008406250,234807
0.008437500,183276
0.008468750,134423
0.008500000,102279
0.008531250,74492
0.008562500,103244
0.008593750,112192
0.008625000,81461
0.008656250,84330
0.008687500,76939
0.008718750,6644
0.008750000,-36020
0.008781250,-20398
0.008812500,-71277
0.008843750,-98069
0.008875000,-112134
0.008906250,-165303
0.008937500,-245641
0.008968750,-287178
0.009000000,-313710
0.009031250,-346592
0.009062500,-348544
0.009093750,-391607
0.009125000,-412758
0.009156250,-447776
0.009187500,-470060
0.009218750,-518176
0.009250000,-556497
0.009281250,-557632
0.009312500,-576851
0.009343750,-603226
0.009375000,-651669
0.009406250,-688266
0.009437500,-720704
0.009468750,-753110
0.009500000,-783378
0.009531250,-829347
0.009562500,-857591
0.009593750,-898289
0.009625000,-961807
0.009656250,-986928
0.009687500,-995874
0.009718750,-1000781
0.009750000,-970898
0.009781250,-900726
0.009812500,-825072
0.009843750,-784360
0.009875000,-753691
0.009906250,-735497
0.009937500,-721903
0.009968750,-742280
0.010000000,-752122
0.010031250,-726074
0.010062500,-670042
0.010093750,-636175
0.010125000,-620631
0.010156250,-560562
0.010187500,-513853
0.010218750,-471042
0.010250000,-431185
0.010281250,-393000
0.010312500,-345882
0.010343750,-293150
0.010375000,-226247
0.010406250,-162103
0.010437500,-102973
0.010468750,-48593
0.010500000,-5015
0.010531250,46661
0.010562500,110469
0.010593750,158269
0.010625000,201956
0.010656250,265370
0.010687500,323751
0.010718750,388758
0.010750000,435813
0.010781250,483753
0.010812500,518933
0.010843750,587632
0.010875000,592570
0.010906250,612281
0.010937500,657689
0.010968750,565502
0.011000000,624920
0.011031250,654590
0.011062500,672410
0.011093750,668754
0.011125000,619746
0.011156250,725327
0.011187500,707711
0.011218750,622587
0.011250000,737204
0.011281250,734330
0.011312500,711565
0.011343750,661136
0.011375000,688507
0.011406250,681575
0.011437500,617043
0.011468750,573348
0.011500000,524483
0.011531250,474116
0.011562500,421601
0.011593750,274826
0.011625000,298363
0.011656250,205282
0.011687500,101649
0.011718750,42574
0.011750000,87747
0.011781250,-53206
0.011812500,-30
0.011843750,-114509
0.011875000,-41751
0.011906250,-114149
0.011937500,-154531
0.011968750,-290038
0.012000000,-205948
0.012031250,-353981
0.012062500,-285735
0.012093750,-341010
0.012125000,-342059
0.012156250,-403236
0.012187500,-373625
0.012218750,-400807
0.012250000,-417649
0.012281250,-417950
0.012312500,-347644
0.012343750,-275795
0.012375000,-293790
0.012406250,-238598
0.012437500,-274720
0.012468750,-180767
0.012500000,-193019
0.012531250,-185723
0.012562500,-177423
0.012593750,-152961
0.012625000,-200523
0.012656250,-167073
0.012687500,-166733
0.012718750,-102636
0.012750000,-128119
0.012781250,-172899
0.012812500,-134382
0.012843750,-58526
0.012875000,-182127
0.012906250,-45964
0.012937500,-123269
0.012968750,-28314
0.013000000,-55637
0.013031250,-30046
0.013062500,41465
0.013093750,71428
0.013125000,31167
0.013156250,138065
0.013187500,66885
0.013218750,192412
0.013250000,128489
0.013281250,217766
0.013312500,307438
0.013343750,283726
0.013375000,368867
0.013406250,365150
0.013437500,358833
0.013468750,445668
0.013500000,478196
0.013531250,542412
0.013562500,610307
0.013593750,565985
0.013625000,597063
0.013656250,579848
0.013687500,539662
0.013718750,497314
0.013750000,480080
0.013781250,446729
0.013812500,418891
0.013843750,377531
0.013875000,395421
0.013906250,352598
0.013937500,395289
0.013968750,378609
0.014000000,331707
0.014031250,343491
0.014062500,284027
0.014093750,201988
0.014125000,162024
0.014156250,120581
0.014187500,72728
0.014218750,42233
0.014250000,9101
0.014281250,-2609
0.014312500,-12328
0.014343750,-52269
0.014375000,-33567
0.014406250,-23313
0.014437500,-20495
0.014468750,-16882
0.014500000,5627
0.014531250,63167
0.014562500,95539
0.014593750,105922
0.014625000,136462
0.014656250,138462
0.014687500,180638
0.014718750,166255
0.014750000,226805
0.014781250,209343
0.014812500,93699
0.014843750,151513
0.014875000,-1821
0.014906250,-20700
0.014937500,-31466
0.014968750,-36495
0.015000000,-34497
0.015031250,-91641
0.015062500,-48940
0.015093750,-64561
0.015125000,-175948
0.015156250,-190405
0.015187500,-260023
0.015218750,-274186
0.015250000,-285397
0.015281250,-348606
0.015312500,-363253
0.015343750,-320980
0.015375000,-424441
0.015406250,-343482
0.015437500,-370777
0.015468750,-408465
0.015500000,-482562
0.015531250,-294044
0.015562500,-454285
0.015593750,-420806
0.015625000,-232808
0.015656250,-475517
0.015687500,-202766
0.015718750,-219003
0.015750000,-399403
0.015781250,-140587
0.015812500,-147241
0.015843750,-220922
0.015875000,-26832
0.015906250,64691
0.015937500,98997
0.015968750,53352
0.016000000,65716
0.016031250,150025
0.016062500,98565
0.016093750,108750
0.016125000,144657
0.016156250,183523
0.016187500,279238
0.016218750,114450
0.016250000,295315
0.016281250,415726
0.016312500,202282
0.016343750,287371
0.016375000,408935
0.016406250,291623
0.016437500,257386
0.016468750,280218
0.016500000,336662
0.016531250,251878
0.016562500,258947
0.016593750,218103
0.016625000,288842
0.016656250,146303
0.016687500,204346
0.016718750,280820
0.016750000,159385
0.016781250,262069
0.016812500,270868
0.016843750,191969
0.016875000,336921
0.016906250,210823
0.016937500,294622
0.016968750,237959
0.017000000,399601
0.017031250,159632
0.017062500,264275
0.017093750,335083
0.017125000,272304
0.017156250,262599
0.017187500,311472
0.017218750,253996
0.017250000,403379
0.017281250,183469
0.017312500,393275
0.017343750,243359
0.017375000,205651
0.017406250,71658
0.017437500,119669
0.017468750,-69696
0.017500000,-41516
0.017531250,-78565
0.017562500,-153446
0.017593750,-65204
0.017625000,-224080
0.017656250,-374001
0.017687500,-263435
0.017718750,-230574
0.017750000,-378352
0.017781250,-347584
0.017812500,-220229
0.017843750,-351802
0.017875000,-362542
0.017906250,-296740
0.017937500,-419470
0.017968750,-314412
0.018000000,-403156
0.018031250,-284670
0.018062500,-443370
0.018093750,-200905
0.018125000,-277609
0.018156250,-186330
0.018187500,-127879
0.018218750,-215642
0.018250000,59672
0.018281250,-124538
0.018312500,-32650
0.018343750,174883
0.018375000,-120833
0.018406250,190985
0.018437500,50353
0.018468750,78252
0.018500000,39758
0.018531250,138917
0.018562500,5437
0.018593750,-29616
0.018625000,53594
0.018656250,-37401
0.018687500,-60534
0.018718750,19982
0.018750000,-92095
0.018781250,818
0.018812500,-99670
0.018843750,-125286
0.018875000,-117925
0.018906250,-148248
0.018937500,-153907
0.018968750,-191310
0.019000000,-164555
0.019031250,-209557
0.019062500,-243558
0.019093750,-292554
0.019125000,-301367
0.019156250,-299182
0.019187500,-315416
0.019218750,-333991
0.019250000,-339299
0.019281250,-343099
0.019312500,-435233
0.019343750,-317277
0.019375000,-319852
0.019406250,-318727
0.019437500,-180000
0.019468750,-180203
0.019500000,-200510
0.019531250,-176587
0.019562500,-190500
0.019593750,-210653
0.019625000,-200944
0.019656250,-211560
0.019687500,-238525
0.019718750,-160598
0.019750000,-156291
0.019781250,-158355
0.019812500,-140645
0.019843750,-80076
0.019875000,-172346
0.019906250,-175375
0.019937500,-151034
0.019968750,-189535
0.020000000,-208495
0.020031250,-179663
0.020062500,-151575
0.020093750,-140718
0.020125000,-142262
0.020156250,-180771
0.020187500,-154465
0.020218750,-187712
0.020250000,-233103
0.020281250,-192364
0.020312500,-169737
0.020343750,-146562
0.020375000,-62261
0.020406250,18145
0.020437500,94692
0.020468750,166811
0.020500000,194148
0.020531250,265840
0.020562500,305791
0.020593750,391596
0.020625000,429547
0.020656250,499244
0.020687500,539682
0.020718750,544930
0.020750000,530661
0.020781250,559798
0.020812500,546528
0.020843750,533742
0.020875000,558701
0.020906250,518769
0.020937500,530092
0.020968750,505738
0.021000000,472464
0.021031250,492034
0.021062500,502885
0.021093750,482426
0.021125000,466238
0.021156250,453375
0.021187500,379125
0.021218750,307171
0.021250000,269920
0.021281250,205396
0.021312500,159471
0.021343750,158033
0.021375000,99985
0.021406250,116458
0.021437500,159256
0.021468750,133986
0.021500000,122284
0.021531250,144925
0.021562500,81938
0.021593750,16745
0.021625000,41582
0.021656250,32083
0.021687500,7549
0.021718750,-26021
0.021750000,-40317
0.021781250,-68592
0.021812500,-103083
0.021843750,-103848
0.021875000,-146034
0.021906250,-175354
0.021937500,-231507
0.021968750,-266901
0.022000000,-268218
0.022031250,-260220
0.022062500,-255099
0.022093750,-288407
0.022125000,-329095
0.022156250,-357588
0.022187500,-407971
0.022218750,-422480
0.022250000,-450202
0.022281250,-509324
0.022312500,-528938
0.022343750,-554341
0.022375000,-594522
0.022406250,-609456
0.022437500,-635129
0.022468750,-660831
0.022500000,-651741
0.022531250,-650781
0.022562500,-642948
0.022593750,-608356
0.022625000,-575944
0.022656250,-554616
0.022687500,-539658
0.022718750,-475286
0.022750000,-462508
0.022781250,-416056
0.022812500,-339349
0.022843750,-307948
0.022875000,-273643
0.022906250,-224716
0.022937500,-173861
0.022968750,-164599
0.023000000,-145400
0.023031250,-106199
0.023062500,-56538
0.023093750,-36664
0.023125000,7367
0.023156250,38124
0.023187500,57711
0.023218750,79515
0.023250000,64043
0.023281250,38248
0.023312500,23427
0.023343750,38986
0.023375000,33597
0.023406250,9801
0.023437500,15234
0.023468750,11902
0.023500000,1071
0.023531250,18936
0.023562500,16869
0.023593750,4934
0.023625000,56679
0.023656250,102507
0.023687500,112889
0.023718750,115187
0.023750000,142859
0.023781250,139781
0.023812500,124815
0.023843750,157148
0.023875000,183945
0.023906250,209752
0.023937500,266792
0.023968750,314347
0.024000000,347381
0.024031250,399505
0.024062500,456757
0.024093750,508424
0.024125000,538540
0.024156250,585386
0.024187500,623795
0.024218750,638302
0.024250000,668864
0.024281250,670907
0.024312500,705011
0.024343750,749092
0.024375000,762161
0.024406250,772009
0.024437500,769568
0.024468750,756183
0.024500000,746450
0.024531250,719186
0.024562500,689477
0.024593750,665958
0.024625000,673634
0.024656250,660981
0.024687500,636456
0.024718750,634977
0.024750000,600193
0.024781250,576527
0.024812500,600531
0.024843750,615148
0.024875000,577554
0.024906250,571381
0.024937500,563943
0.024968750,523060
0.025000000,485026
0.025031250,499062
0.025062500,486855
0.025093750,491576
0.025125000,511591
0.025156250,522874
0.025187500,525839
0.025218750,524290
0.025250000,511227
0.025281250,497686
0.025312500,459723
0.025343750,430342
0.025375000,397803
0.025406250,378016
0.025437500,357607
0.025468750,324914
0.025500000,269456
0.025531250,206360
0.025562500,125418
0.025593750,29285
0.025625000,-74673
0.025656250,-168865
0.025687500,-244027
0.025718750,-322422
0.025750000,-405113
0.025781250,-455830
0.025812500,-483472
0.025843750,-537685
0.025875000,-606811
0.025906250,-622149
0.025937500,-650827
0.025968750,-699355
0.026000000,-739245
0.026031250,-785229
0.026062500,-827808
0.026093750,-878770
0.026125000,-912215
0.026156250,-941065
0.026187500,-919218
0.026218750,-870294
0.026250000,-832744
0.026281250,-795690
0.026312500,-771901
0.026343750,-742474
0.026375000,-708095
0.026406250,-661320
0.026437500,-599754
0.026468750,-550546
0.026500000,-519369
0.026531250,-472284
0.026562500,-433750
0.026593750,-432444
0.026625000,-433600
0.026656250,-420717
0.026687500,-405735
0.026718750,-386993
0.026750000,-387241
0.026781250,-380274
0.026812500,-342407
0.026843750,-306862
0.026875000,-280215
0.026906250,-249728
0.026937500,-214159
0.026968750,-168756
0.027000000,-123072
0.027031250,-66997
0.027062500,-22482
0.027093750,-225
0.027125000,10203
0.027156250,41169
0.027187500,64145
0.027218750,42115
0.027250000,25807
0.027281250,49078
0.027312500,60856
0.027343750,71662
0.027375000,108026
0.027406250,141579
0.027437500,177208
0.027468750,213982
0.027500000,227916
0.027531250,276708
0.027562500,337782
0.027593750,378400
0.027625000,430633
0.027656250,491763
0.027687500,504453
0.027718750,500153
0.027750000,491022
0.027781250,478769
0.027812500,489045
0.027843750,498888
0.027875000,521487
0.027906250,551290
0.027937500,568446
0.027968750,592655
0.028000000,619662
0.028031250,611958
0.028062500,590117
0.028093750,597040
0.028125000,629514
0.028156250,626897
0.028187500,596523
0.028218750,568805
0.028250000,538010
0.028281250,455061
0.028312500,348759
0.028343750,282679
0.028375000,223132
