time,value
0.000000000,-79188
0.000031250,-65497
0.000062500,-47148
0.000093750,-43303
0.000125000,-35021
0.000156250,-13588
0.000187500,-6655
0.000218750,-17626
0.000250000,-4558
0.000281250,20401
0.000312500,2058
0.000343750,-21130
0.000375000,-23624
0.000406250,-48476
0.000437500,-79565
0.000468750,-75030
0.000500000,-49396
0.000531250,-38467
0.000562500,-37407
0.000593750,-11667
0.000625000,17889
0.000656250,41198
0.000687500,47022
0.000718750,45235
0.000750000,18775
0.000781250,-38636
0.000812500,-77095
0.000843750,-72218
0.000875000,-43510
0.000906250,-14773
0.000937500,15605
0.000968750,31041
0.001000000,18698
0.001031250,-9094
0.001062500,24811
0.001093750,94394
0.001125000,139285
0.001156250,168010
0.001187500,208821
0.001218750,248120
0.001250000,265008
0.001281250,289828
0.001312500,331146
0.001343750,363032
0.001375000,379892
0.001406250,414973
0.001437500,411571
0.001468750,389594
0.001500000,383262
0.001531250,363599
0.001562500,329535
0.001593750,288505
0.001625000,243911
0.001656250,228056
0.001687500,248399
0.001718750,244664
0.001750000,243138
0.001781250,219315
0.001812500,180488
0.001843750,128967
0.001875000,87200
0.001906250,87576
0.001937500,89477
0.001968750,101879
0.002000000,77223
0.002031250,-46653
0.002062500,-158265
0.002093750,-122090
0.002125000,-115042
0.002156250,-231536
0.002187500,-251527
0.002218750,-197291
0.002250000,-323274
0.002281250,-391717
0.002312500,-274840
0.002343750,-362166
0.002375000,-481867
0.002406250,-409709
0.002437500,-331254
0.002468750,-372479
0.002500000,-357800
0.002531250,-290948
0.002562500,-262156
0.002593750,-231058
0.002625000,-192469
0.002656250,-187967
0.002687500,-86944
0.002718750,-70376
0.002750000,-174568
0.002781250,-202759
0.002812500,-145965
0.002843750,-117231
0.002875000,-72403
0.002906250,59549
0.002937500,166487
0.002968750,68559
0.003000000,-63183
0.003031250,-53582
0.003062500,14955
0.003093750,-7929
0.003125000,-22055
0.003156250,2845
0.003187500,-59462
0.003218750,-149108
0.003250000,-147903
0.003281250,-70940
0.003312500,-59994
0.003343750,-57720
0.003375000,14733
0.003406250,-18563
0.003437500,-149601
0.003468750,-172650
0.003500000,-134200
0.003531250,-56641
0.003562500,14009
0.003593750,57728
0.003625000,100670
0.003656250,168722
0.003687500,188780
0.003718750,259985
0.003750000,321404
0.003781250,244934
0.003812500,141577
0.003843750,80689
0.003875000,25855
0.003906250,-37193
0.003937500,-36696
0.003968750,-14689
0.004000000,6935
0.004031250,-31319
0.004062500,-107899
0.004093750,-186838
0.004125000,-284643
0.004156250,-377615
0.004187500,-441962
0.004218750,-456943
0.004250000,-439396
0.004281250,-373515
0.004312500,-340574
0.004343750,-359850
0.004375000,-351526
0.004406250,-364025
0.004437500,-375557
0.004468750,-362346
0.004500000,-314853
0.004531250,-321287
0.004562500,-339833
0.004593750,-354664
0.004625000,-334097
0.004656250,-320146
0.004687500,-245439
0.004718750,-149025
0.004750000,-116375
0.004781250,-97653
0.004812500,-82578
0.004843750,-111715
0.004875000,-159482
0.004906250,-119450
0.004937500,-39851
0.004968750,47790
0.005000000,107360
0.005031250,157805
0.005062500,184241
0.005093750,181692
0.005125000,193342
0.005156250,219689
0.005187500,206754
0.005218750,124880
0.005250000,70901
0.005281250,54013
0.005312500,68884
0.005343750,131965
0.005375000,179200
0.005406250,204536
0.005437500,191384
0.005468750,140408
0.005500000,51928
0.005531250,-31182
0.005562500,-95605
0.005593750,-127404
0.005625000,-114862
0.005656250,-6926
0.005687500,112601
0.005718750,201204
0.005750000,211518
0.005781250,134210
0.005812500,11317
0.005843750,-86629
0.005875000,-88184
